=======================================
SLURM_ARRAY_TASK_ID = 2
YAML_PATH = /om2/user/bjmedina/auditory-memory/memory/model_yamls/all-texture-pca/run_000002.yaml
=======================================
Running config:
  YAML: /om2/user/bjmedina/auditory-memory/memory/model_yamls/all-texture-pca/run_000002.yaml
  Encoder: texture_pca
  Metric: cosine
  Noise: two-regime
[37cvre6eg9s_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[8tu97cya9jj_multi.csv] ISI=0 d' = 0.00 (HR=1.00, FAR=1.00)
[jc4yzmhypd3_multi.csv] ISI=0 d' = 2.88 (HR=1.00, FAR=0.80)
[n07q5wam94a_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[3tvm9mbf7b7_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[fhb0dfe2fzy_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[2pnmxwlmhlr_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[avb399bn3xs_multi.csv] ISI=0 d' = 2.88 (HR=1.00, FAR=0.80)
[61ypdszdyw2_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[7e1fdkxhe01_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[clb40b70u1l_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[wbbvnp7pqse_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[g3cy363bok7_multi.csv] ISI=0 d' = 1.68 (HR=0.80, FAR=0.20)
[kasc4aayjro_multi.csv] ISI=0 d' = 2.88 (HR=1.00, FAR=0.80)
[d1a7xrgg65x_multi.csv] ISI=0 d' = 0.00 (HR=1.00, FAR=1.00)
[7cdy0c4xl0f_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[1fmqqy8upv0_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[j4gb6hot4t1_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[859t527gqph_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[0ufvzovqena_multi.csv] ISI=0 d' = 0.00 (HR=1.00, FAR=1.00)
[6ab0gnoe928_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[3e5ax1y0u17_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[bqf6u3k6cof_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[gq0pj9ccf2m_multi.csv] ISI=0 d' = 2.88 (HR=1.00, FAR=0.80)
[8bn5ke13raz_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[hr00dz0vq8g_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[qrqgm5c3nm6_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[lbwv7rjumbp_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[yyud3gjrs7w_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[y4nonmfghqc_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[l70o0ygz0l0_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[9lw0a720rpk_multi.csv] ISI=0 d' = 2.88 (HR=1.00, FAR=0.80)
[mvz39glwagk_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[jr3o2k5o5t2_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[a7go0gcrd7g_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
/om2/user/bjmedina/auditory-memory/memory/figures/atexts/texture_pca/cosine/two-regime_t2/ /om2/user/bjmedina/auditory-memory/memory/fits
Directory already exists: /om2/user/bjmedina/auditory-memory/memory/figures/atexts/texture_pca/cosine/two-regime_t2/
Directory already exists: /om2/user/bjmedina/auditory-memory/memory/fits
Encoder name: texture_pca
/om2/user/bjmedina/models/cochdnn/model_directories/texture_pca_audioset/
